label,trajectory
right_1,"[[212, 163], [214, 183], [214, 172], [214, 172], [214, 172], [214, 172], [214, 165], [214, 165], [214, 165], [214, 165], [215, 167], [215, 167], [215, 167], [215, 167], [215, 165], [215, 165], [215, 165], [215, 165], [220, 171], [220, 171], [220, 171], [220, 171], [233, 179], [233, 179], [233, 179], [233, 179], [257, 188], [257, 188], [257, 188], [257, 188], [282, 197], [282, 197], [282, 197], [282, 197], [303, 186], [303, 186], [303, 186], [303, 186], [313, 162], [313, 162], [313, 162], [313, 162], [306, 118], [306, 118], [306, 118], [306, 118], [290, 85], [290, 85], [290, 85], [290, 85], [257, 66], [257, 66], [257, 66], [257, 66], [216, 60], [216, 60], [216, 60], [216, 60], [184, 73], [184, 73], [184, 73], [184, 73], [175, 108], [175, 108], [175, 108], [175, 108], [179, 139], [179, 139], [179, 139], [179, 139], [192, 160], [192, 160], [192, 160], [192, 160], [207, 168], [207, 168], [207, 168], [207, 168], [221, 172], [221, 172], [221, 172], [221, 172], [230, 177], [230, 177], [230, 177], [230, 177], [241, 180], [241, 180], [241, 180], [241, 180], [248, 181], [248, 181], [248, 181], [248, 181], [253, 183], [253, 183], [253, 183], [253, 183], [260, 186]]"
left_1,"[[342, 227], [341, 226], [341, 227], [341, 227], [341, 227], [341, 227], [343, 227], [343, 227], [343, 227], [343, 227], [343, 227], [343, 227], [343, 227], [343, 227], [342, 228], [342, 228], [342, 228], [342, 228], [337, 230], [337, 230], [337, 230], [337, 230], [331, 231], [331, 231], [331, 231], [331, 231], [321, 231], [321, 231], [321, 231], [321, 231], [310, 232], [310, 232], [310, 232], [310, 232], [295, 233], [295, 233], [295, 233], [295, 233], [276, 235], [276, 235], [276, 235], [276, 235], [256, 233], [256, 233], [256, 233], [256, 233], [233, 233], [233, 233], [233, 233], [233, 233], [205, 232], [205, 232], [205, 232], [205, 232], [186, 229], [186, 229], [186, 229], [186, 229], [166, 222], [166, 222], [166, 222], [166, 222], [134, 222], [134, 222], [134, 222], [134, 222], [114, 219], [114, 219], [114, 219], [114, 219], [94, 217], [94, 217], [94, 217], [94, 217], [76, 216], [76, 216], [76, 216], [76, 216], [60, 215], [60, 215], [60, 215], [60, 215], [54, 213], [54, 213], [54, 213], [54, 213], [49, 210], [49, 210], [49, 210], [49, 210], [43, 206], [43, 206], [43, 206], [43, 206], [40, 203], [40, 203], [40, 203], [40, 203], [37, 201]]"
right_2,"[[231, 304], [229, 305], [227, 304], [227, 304], [227, 304], [227, 304], [227, 306], [227, 306], [227, 306], [227, 306], [228, 306], [228, 306], [228, 306], [228, 306], [234, 310], [234, 310], [234, 310], [234, 310], [252, 312], [252, 312], [252, 312], [252, 312], [277, 314], [277, 314], [277, 314], [277, 314], [299, 312], [299, 312], [299, 312], [299, 312], [315, 299], [315, 299], [315, 299], [315, 299], [328, 274], [328, 274], [328, 274], [328, 274], [330, 240], [330, 240], [330, 240], [330, 240], [315, 205], [315, 205], [315, 205], [315, 205], [282, 187], [282, 187], [282, 187], [282, 187], [235, 177], [235, 177], [235, 177], [235, 177], [199, 192], [199, 192], [199, 192], [199, 192], [180, 233], [180, 233], [180, 233], [180, 233], [180, 272], [180, 272], [180, 272], [180, 272], [196, 302], [196, 302], [196, 302], [196, 302], [220, 314], [220, 314], [220, 314], [220, 314], [242, 321], [242, 321], [242, 321], [242, 321], [267, 316], [267, 316], [267, 316], [267, 316], [287, 309], [303, 296], [303, 296], [303, 296], [303, 296], [316, 281], [316, 281], [316, 281], [316, 281], [317, 258], [317, 258], [317, 258], [317, 258], [305, 233], [305, 233], [305, 233], [305, 233]]"
