Original_Exercise,Predicted_Exercise,Accuracy
bicep_curl,bicep_curl,0.23
bicep_curl,tricep_extension,0.267
bicep_curl,bicep_curl,0.281
bicep_curl,bicep_curl,0.196
bicep_curl,bicep_curl,0.179
bicep_curl,push_ups,0.108
bicep_curl,bicep_curl,0.199
bicep_curl,bicep_curl,0.227
bicep_curl,bicep_curl,0.286
bicep_curl,tricep_extension,0.184
bicep_curl,tricep_extension,0.206
bicep_curl,bicep_curl,0.098
bicep_curl,,0
bicep_curl,bicep_curl,0.086
bicep_curl,bicep_curl,0.193
bicep_curl,tricep_extension,0.117
bicep_curl,bicep_curl,0.28
bicep_curl,tricep_extension,0.322
bicep_curl,bicep_curl,0.326
bicep_curl,bicep_curl,0.227
bicep_curl,bicep_curl,0.087
bicep_curl,bicep_curl,0.291
bicep_curl,bicep_curl,0.341
bicep_curl,bicep_curl,0.131
bicep_curl,tricep_extension,0.234
bicep_curl,bicep_curl,0.007
bicep_curl,bicep_curl,0.07
bicep_curl,tricep_extension,0.138
bicep_curl,tricep_extension,0.306
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,lateral_raise,0.001
bicep_curl,lateral_raise,0.03
bicep_curl,bicep_curl,0.034
bicep_curl,tricep_extension,0.071
bicep_curl,tricep_extension,0.112
bicep_curl,tricep_extension,0.111
bicep_curl,,0
bicep_curl,,0
bicep_curl,push_ups,0.174
bicep_curl,tricep_extension,0.242
bicep_curl,tricep_extension,0.177
bicep_curl,tricep_extension,0.106
bicep_curl,,0
bicep_curl,,0
bicep_curl,bicep_curl,0.076
bicep_curl,bicep_curl,0.215
bicep_curl,bicep_curl,0.198
bicep_curl,bicep_curl,0.186
bicep_curl,tricep_extension,0.181
bicep_curl,,0
bicep_curl,bicep_curl,0.224
bicep_curl,bicep_curl,0.369
bicep_curl,bicep_curl,0.25
bicep_curl,bicep_curl,0.241
bicep_curl,bicep_curl,0.231
bicep_curl,bicep_curl,0.282
bicep_curl,bicep_curl,0.18
bicep_curl,bicep_curl,0.297
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,bicep_curl,0.065
bicep_curl,bicep_curl,0.064
bicep_curl,bicep_curl,0.107
bicep_curl,,0
bicep_curl,,0
bicep_curl,lateral_raise,0.116
bicep_curl,bicep_curl,0.111
bicep_curl,,0
bicep_curl,lateral_raise,0.113
bicep_curl,bicep_curl,0.015
bicep_curl,bicep_curl,0.118
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,lateral_raise,0.065
bicep_curl,,0
bicep_curl,,0
bicep_curl,bicep_curl,0.036
bicep_curl,bicep_curl,0.019
bicep_curl,,0
bicep_curl,,0
bicep_curl,tricep_extension,0.079
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,bicep_curl,0.189
bicep_curl,bicep_curl,0.143
bicep_curl,,0
bicep_curl,bicep_curl,0.02
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,bicep_curl,0.266
bicep_curl,bicep_curl,0.031
bicep_curl,bicep_curl,0.238
bicep_curl,bicep_curl,0.126
bicep_curl,bicep_curl,0.282
bicep_curl,bicep_curl,0.204
bicep_curl,bicep_curl,0.175
bicep_curl,bicep_curl,0.236
bicep_curl,bicep_curl,0.161
bicep_curl,bicep_curl,0.109
bicep_curl,tricep_extension,0.237
bicep_curl,bicep_curl,0.184
bicep_curl,lateral_raise,0.163
bicep_curl,tricep_extension,0.232
bicep_curl,tricep_extension,0.291
bicep_curl,bicep_curl,0.211
bicep_curl,push_ups,0.398
bicep_curl,bicep_curl,0.312
bicep_curl,bicep_curl,0.324
bicep_curl,tricep_extension,0.017
bicep_curl,bicep_curl,0.257
bicep_curl,tricep_extension,0.149
bicep_curl,lateral_raise,0.213
bicep_curl,tricep_extension,0.038
bicep_curl,lateral_raise,0.085
bicep_curl,tricep_extension,0.159
bicep_curl,tricep_extension,0.149
bicep_curl,tricep_extension,0.075
bicep_curl,tricep_extension,0.124
bicep_curl,,0
bicep_curl,,0
bicep_curl,lateral_raise,0.069
bicep_curl,bicep_curl,0.156
bicep_curl,lateral_raise,0.025
bicep_curl,,0
bicep_curl,lateral_raise,0.04
bicep_curl,lateral_raise,0.218
bicep_curl,lateral_raise,0.005
bicep_curl,lateral_raise,0.105
bicep_curl,lateral_raise,0.095
bicep_curl,lateral_raise,0.156
bicep_curl,lateral_raise,0.024
bicep_curl,tricep_extension,0.159
bicep_curl,lateral_raise,0.136
bicep_curl,tricep_extension,0.044
bicep_curl,lateral_raise,0.113
bicep_curl,tricep_extension,0.029
bicep_curl,tricep_extension,0.013
bicep_curl,,0
bicep_curl,tricep_extension,0.068
bicep_curl,,0
bicep_curl,tricep_extension,0.042
bicep_curl,tricep_extension,0.037
bicep_curl,,0
bicep_curl,,0
bicep_curl,tricep_extension,0.118
bicep_curl,,0
bicep_curl,tricep_extension,0.112
bicep_curl,tricep_extension,0.159
bicep_curl,push_ups,0.138
bicep_curl,,0
bicep_curl,tricep_extension,0.035
bicep_curl,tricep_extension,0.073
bicep_curl,tricep_extension,0.091
bicep_curl,bicep_curl,0.019
bicep_curl,bicep_curl,0.094
bicep_curl,bicep_curl,0.078
bicep_curl,bicep_curl,0.212
bicep_curl,,0
bicep_curl,bicep_curl,0.156
bicep_curl,lateral_raise,0.038
bicep_curl,lateral_raise,0.067
bicep_curl,lateral_raise,0.133
bicep_curl,tricep_extension,0.16
bicep_curl,bicep_curl,0.212
bicep_curl,bicep_curl,0.206
bicep_curl,tricep_extension,0.23
bicep_curl,bicep_curl,0.161
bicep_curl,bicep_curl,0.302
bicep_curl,tricep_extension,0.072
bicep_curl,bicep_curl,0.139
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,lateral_raise,0.101
bicep_curl,bicep_curl,0.182
bicep_curl,lateral_raise,0.156
bicep_curl,lateral_raise,0.066
bicep_curl,bicep_curl,0.086
bicep_curl,tricep_extension,0.143
bicep_curl,bicep_curl,0.227
bicep_curl,bicep_curl,0.192
bicep_curl,bicep_curl,0.031
bicep_curl,bicep_curl,0.041
bicep_curl,bicep_curl,0.116
bicep_curl,bicep_curl,0.196
bicep_curl,tricep_extension,0.021
bicep_curl,,0
bicep_curl,,0
bicep_curl,,0
bicep_curl,lateral_raise,0.021
bicep_curl,push_ups,0.024
bicep_curl,lateral_raise,0.002
bicep_curl,lateral_raise,0.194
bicep_curl,,0
bicep_curl,lateral_raise,0.108
bicep_curl,tricep_extension,0.149
bicep_curl,tricep_extension,0.12
bicep_curl,lateral_raise,0.095
bicep_curl,push_ups,0.125
bicep_curl,lateral_raise,0.095
bicep_curl,tricep_extension,0.168
bicep_curl,tricep_extension,0.188
bicep_curl,bicep_curl,0.137
bicep_curl,lateral_raise,0.019
bicep_curl,tricep_extension,0.073
bicep_curl,tricep_extension,0.181
bicep_curl,tricep_extension,0.083
bicep_curl,,0
bicep_curl,lateral_raise,0.072
bicep_curl,lateral_raise,0.197
bicep_curl,,0
